date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:00:22	7038/7038	---MCZ	200	added ('200')	text/html	etag:W/%227038-1772094944000-gzip%22	https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego.html	(from )
01:00:22	678/678	---M-Z	200	added ('OK')	text/plain	etag:%226fb-644e3a44b4c7e-gzip%22	https://www.oferteo.pl/robots.txt		(from )
01:00:23	1232/1232	---M--	200	added ('OK')	image/png	etag:%224d0-5d20048c11680%22	https://www.oferteo.pl/images/manifest/android-48.png	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.oferteo.pl/images/manifest/android-48.png	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:23	3053/3053	---M--	200	added ('OK')	image/png	etag:%22bed-5d20048c11680%22	https://www.oferteo.pl/images/manifest/apple-touch-icon.png	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.oferteo.pl/images/manifest/apple-touch-icon.png	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:23	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2003%20Mar%202026%2000:00:22%20GMT	https://www.googletagmanager.com/gtm.js?id=	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.googletagmanager.com/gtm.35445.delayed	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:24	19952/19952	---M--	200	added ('OK')	text/javascript	date:Mon,%2026%20Oct%202020%2020:17:37%20GMT	https://www.gstatic.com/firebasejs/8.0.0/firebase-app.js	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.gstatic.com/firebasejs/8.0.0/firebase-app.js	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:24	40715/40715	---M--	200	added ('OK')	text/javascript	date:Mon,%2026%20Oct%202020%2020:17:34%20GMT	https://www.gstatic.com/firebasejs/8.0.0/firebase-messaging.js	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.gstatic.com/firebasejs/8.0.0/firebase-messaging.js	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:25	63684/63684	---M-Z	200	added ('OK')	application/javascript	etag:%22098ed6f1c127cfb3455773e70b1c7e0f%22	https://cdn.tagcommander.com/6939/tc_oferteopl_20.js	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/cdn.tagcommander.com/6939/tc_oferteopl_20.js	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:25	107133/107133	---M--	200	added ('OK')	text/javascript	etag:553%20/%2020515%20/%2031096978%20/%20config-hash:%201589252820025541564	https://securepubads.g.doubleclick.net/tag/js/gpt.js	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/securepubads.g.doubleclick.net/tag/js/f.txt	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:25	69148/69148	---M-Z	200	added ('OK')	application/javascript	etag:%2210e1c-64bb60185e8ad-gzip%22	https://www.oferteo.pl/app/dist/assets/app-customer-DWC_mM9u.js	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.oferteo.pl/app/dist/assets/app-customer-DWC_mM9u.js	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:26	151120/151120	---MCZ	200	added ('OK')	application/javascript	etag:%2224e50-64bb60185e8ad-gzip%22	https://www.oferteo.pl/app/dist/assets/notificationCounters-D-GgXq0f.js	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.oferteo.pl/app/dist/assets/notificationCounters-D-GgXq0f.js	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:26	6015/6015	---M-Z	200	added ('OK')	application/javascript	etag:%22177f-64bb60185e8ad-gzip%22	https://www.oferteo.pl/app/dist/assets/Autocomplete-Clnw9Uky.js	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.oferteo.pl/app/dist/assets/Autocomplete-Clnw9Uky.js	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:27	1461/1461	---M-Z	200	added ('OK')	application/javascript	etag:%225b5-64bb60185e8ad-gzip%22	https://www.oferteo.pl/app/dist/assets/Avatar-BKBeqzZ4.js	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.oferteo.pl/app/dist/assets/Avatar-BKBeqzZ4.js	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:27	2801/2801	---M-Z	200	added ('OK')	application/javascript	etag:%22af1-64bb60185e8ad-gzip%22	https://www.oferteo.pl/app/dist/assets/CodeInput--704KE3D.js	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.oferteo.pl/app/dist/assets/CodeInput--704KE3D.js	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:27	5729/5729	---M-Z	200	added ('OK')	application/javascript	etag:%221661-64bb60185e8ad-gzip%22	https://www.oferteo.pl/app/dist/assets/DatePicker-XhNBcMhw.js	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.oferteo.pl/app/dist/assets/DatePicker-XhNBcMhw.js	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:28	9149/9149	---M-Z	200	added ('OK')	application/javascript	etag:%2223bd-64bb60185e8ad-gzip%22	https://www.oferteo.pl/app/dist/assets/DateRangePicker-Cl7AbmIs.js	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.oferteo.pl/app/dist/assets/DateRangePicker-Cl7AbmIs.js	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:28	3542/3542	---M-Z	200	added ('OK')	application/javascript	etag:%22dd6-64bb60185e8ad-gzip%22	https://www.oferteo.pl/app/dist/assets/DropdownSelect-Dq6MwJUP.js	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.oferteo.pl/app/dist/assets/DropdownSelect-Dq6MwJUP.js	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
01:00:29	7525/7525	---M-Z	200	added ('OK')	application/javascript	etag:%221d65-64bb60185e8ad-gzip%22	https://www.oferteo.pl/app/dist/assets/location-Dy1lz0Ss.js	F:/meje%20strony/https___www.oferteo.pl_konto_zapytanie_17233417_zlecenia-na-wykonanie-sklepu-internetowego/www.oferteo.pl/app/dist/assets/location-Dy1lz0Ss.js	(from https://www.oferteo.pl/konto/zapytanie/17233417_zlecenia-na-wykonanie-sklepu-internetowego)
